symbol,date,buy_price,sell_price,actual_return,predicted_return
301132.SZ,2023-08-29,27.57,30.07,9.067827348567283,4.202086448669434
600030.SH,2023-08-30,22.56,22.13,-1.9060283687943251,5.279429912567139
601377.SH,2023-08-30,6.51,6.39,-1.8433179723502322,4.481568813323975
600754.SH,2023-08-30,38.4,39.81,3.6718750000000098,4.07696008682251
601136.SH,2023-08-30,24.7,24.1,-2.4291497975708416,3.6083192825317383
002279.SZ,2023-08-30,7.36,7.37,0.13586956521738838,3.5682895183563232
600030.SH,2023-08-31,22.2,22.12,-0.3603603603603527,6.161615371704102
601136.SH,2023-08-31,24.58,25.64,4.312449145646877,5.2296648025512695
601377.SH,2023-08-31,6.41,6.35,-0.9360374414976675,4.193211555480957
601229.SH,2023-08-31,5.95,6.1,2.5210084033613356,3.4787065982818604
600871.SH,2023-08-31,2.07,2.11,1.932367149758456,3.195122718811035
601136.SH,2023-09-01,23.08,25.15,8.968804159445408,5.88744592666626
600030.SH,2023-09-01,22.38,22.25,-0.5808757819481636,5.024443626403809
003005.SZ,2023-09-01,31.96,31.15,-2.5344180225281674,4.260805130004883
603879.SH,2023-09-01,9.04,7.99,-11.6150442477876,4.103484153747559
301081.SZ,2023-09-01,10.6,10.48,-1.1320754716981059,4.054405689239502
601136.SH,2023-09-04,22.93,23.72,3.4452682075883083,5.417943954467773
603879.SH,2023-09-04,8.14,8.15,0.12285012285012023,5.345999240875244
600030.SH,2023-09-04,22.57,22.6,0.13291980505095763,3.4472384452819824
600807.SH,2023-09-04,3.42,3.26,-4.678362573099419,3.3783152103424072
301396.SZ,2023-09-04,33.07,33.33,0.7862110674327124,2.9381532669067383
603879.SH,2023-09-05,7.91,8.48,7.206068268015174,4.861459255218506
301288.SZ,2023-09-05,23.27,21.85,-6.102277610657491,4.6642937660217285
603283.SH,2023-09-05,40.62,44.87,10.462826193993108,4.176583290100098
603970.SH,2023-09-05,16.6,16.37,-1.3855421686747014,3.040318250656128
301396.SZ,2023-09-05,32.13,33.18,3.2679738562091414,2.973792552947998
301288.SZ,2023-09-06,22.53,22.77,1.0652463382157054,5.414222240447998
600272.SH,2023-09-06,12.97,12.95,-0.15420200462607053,3.8644187450408936
301396.SZ,2023-09-06,32.31,32.3,-0.030950170225952072,3.1022980213165283
002377.SZ,2023-09-06,2.88,2.75,-4.513888888888886,3.029573440551758
603879.SH,2023-09-06,7.99,8.53,6.758448060075082,2.9131791591644287
301288.SZ,2023-09-07,22.2,21.21,-4.4594594594594525,6.232824802398682
002459.SZ,2023-09-07,25.31,24.47,-3.3188463058079805,6.0168561935424805
002377.SZ,2023-09-07,2.81,2.73,-2.8469750889679744,5.122514724731445
002400.SZ,2023-09-07,5.33,5.26,-1.3133208255159527,4.142807960510254
603533.SH,2023-09-07,21.17,20.22,-4.487482286254147,3.809180736541748
002518.SZ,2023-09-08,29.0,28.1,-3.103448275862064,6.834478855133057
301102.SZ,2023-09-08,20.64,20.61,-0.14534883720930783,5.9521565437316895
002459.SZ,2023-09-08,24.67,24.32,-1.4187271990271642,5.5976667404174805
000977.SZ,2023-09-08,35.17,35.82,1.8481660506113124,5.320369243621826
002291.SZ,2023-09-08,9.89,9.49,-4.044489383215373,5.269421577453613
002518.SZ,2023-09-11,29.27,28.55,-2.459856508370341,5.806777477264404
603918.SH,2023-09-11,26.64,24.56,-7.807807807807815,3.5860755443573
002599.SZ,2023-09-11,6.47,6.3,-2.6275115919629046,3.3288493156433105
002459.SZ,2023-09-11,24.99,24.51,-1.920768307322917,3.270275592803955
002812.SZ,2023-09-11,62.55,62.22,-0.5275779376498774,3.1911656856536865
301306.SZ,2023-09-12,36.38,34.7,-4.617921935129191,4.377490997314453
301316.SZ,2023-09-12,33.7,30.98,-8.07121661721069,4.330210208892822
002291.SZ,2023-09-12,9.94,9.45,-4.929577464788735,4.212432384490967
603959.SH,2023-09-12,8.97,8.96,-0.11148272017836997,3.7815821170806885
600159.SH,2023-09-12,3.05,3.0,-1.6393442622950762,3.684232711791992
603220.SH,2023-09-13,24.17,23.6,-2.358295407529997,10.012561798095703
920305.BJ,2023-09-13,14.77,13.43,-9.07244414353419,7.240628242492676
002463.SZ,2023-09-13,19.22,19.88,3.4339229968782528,6.427501678466797
301270.SZ,2023-09-13,41.66,36.35,-12.746039366298598,5.172581195831299
000004.SZ,2023-09-13,15.97,16.64,4.1953663118346896,5.080241680145264
301205.SZ,2023-09-14,88.11,83.08,-5.7087731245034625,15.153158187866211
301398.SZ,2023-09-14,59.76,55.6,-6.96117804551539,11.417701721191406
603220.SH,2023-09-14,23.12,24.23,4.801038062283734,10.693528175354004
603083.SH,2023-09-14,43.98,43.73,-0.5684402000909505,9.39234733581543
920305.BJ,2023-09-14,14.91,13.32,-10.663983903420522,8.844476699829102
301205.SZ,2023-09-15,86.51,90.0,4.034215697607206,17.838563919067383
301398.SZ,2023-09-15,59.4,56.69,-4.562289562289564,17.369213104248047
301169.SZ,2023-09-15,56.38,56.42,0.0709471443774373,10.990469932556152
603083.SH,2023-09-15,43.25,48.1,11.213872832369946,10.846457481384277
301366.SZ,2023-09-15,34.44,34.47,0.08710801393728554,10.58082103729248
301205.SZ,2023-09-18,85.46,88.15,3.147671425228191,18.340219497680664
301183.SZ,2023-09-18,47.54,47.83,0.6100126209507766,14.686589241027832
603083.SH,2023-09-18,42.46,52.91,24.61139896373056,11.923473358154297
920305.BJ,2023-09-18,14.36,13.66,-4.874651810584953,11.687079429626465
002886.SZ,2023-09-18,18.03,18.09,0.33277870216305444,11.23328971862793
301205.SZ,2023-09-19,83.8,93.6,11.6945107398568,16.02271842956543
301183.SZ,2023-09-19,44.24,47.64,7.68535262206148,14.012638092041016
301297.SZ,2023-09-19,23.65,22.63,-4.312896405919661,13.548707962036133
603083.SH,2023-09-19,42.01,54.12,28.826469888121874,12.830588340759277
920305.BJ,2023-09-19,13.94,13.83,-0.7890961262553762,11.711769104003906
603773.SH,2023-09-20,28.47,31.23,9.694415173867235,17.54230308532715
301183.SZ,2023-09-20,44.35,46.18,4.126268320180379,15.004192352294922
301369.SZ,2023-09-20,63.12,62.73,-0.617870722433461,13.556368827819824
301205.SZ,2023-09-20,84.0,91.44,8.857142857142856,13.488346099853516
920305.BJ,2023-09-20,13.43,13.63,1.4892032762472158,12.521258354187012
301369.SZ,2023-09-21,62.43,63.88,2.3226013134710923,14.770519256591797
000032.SZ,2023-09-21,21.47,22.38,4.238472286911971,14.100027084350586
301183.SZ,2023-09-21,44.35,46.67,5.231116121758738,12.164495468139648
920305.BJ,2023-09-21,13.32,13.66,2.5525525525525516,11.308403968811035
301205.SZ,2023-09-21,83.08,89.62,7.871930669234481,10.866214752197266
301183.SZ,2023-09-22,48.4,46.06,-4.8347107438016454,13.908327102661133
301398.SZ,2023-09-22,56.69,56.58,-0.19403774916210872,12.625916481018066
301369.SZ,2023-09-22,64.7,63.43,-1.962905718701705,12.538975715637207
000032.SZ,2023-09-22,22.47,22.5,0.13351134846462456,11.193643569946289
600853.SH,2023-09-22,4.35,4.79,10.114942528735641,8.943120002746582
301398.SZ,2023-09-25,56.69,55.15,-2.7165284882695344,14.608709335327148
000032.SZ,2023-09-25,21.98,22.58,2.7297543221110003,9.734858512878418
001298.SZ,2023-09-25,21.8,35.11,61.05504587155962,9.293700218200684
000615.SZ,2023-09-25,4.61,4.31,-6.507592190889386,7.536364555358887
920725.BJ,2023-09-25,13.03,12.83,-1.5349194167306162,7.454391002655029
301398.SZ,2023-09-26,55.74,57.41,2.9960531036957203,10.411545753479004
000980.SZ,2023-09-26,3.28,3.22,-1.829268292682915,8.644353866577148
000615.SZ,2023-09-26,4.38,4.1,-6.392694063926946,8.452390670776367
600818.SH,2023-09-26,12.88,13.19,2.406832298136636,7.0385589599609375
603315.SH,2023-09-26,10.84,10.92,0.7380073800738014,6.843367099761963
000980.SZ,2023-09-27,3.22,3.54,9.937888198757758,9.732894897460938
301369.SZ,2023-09-27,62.73,64.53,2.8694404591104803,8.375428199768066
920445.BJ,2023-09-27,3.96,3.85,-2.7777777777777746,8.259154319763184
301013.SZ,2023-09-27,14.89,17.42,16.991269308260584,8.007773399353027
301398.SZ,2023-09-27,54.96,60.95,10.898835516739451,7.826766490936279
000980.SZ,2023-09-28,3.3,3.69,11.818181818181822,7.797705173492432
301073.SZ,2023-09-28,30.05,25.69,-14.509151414309482,7.094128608703613
301313.SZ,2023-09-28,34.55,28.02,-18.900144717800284,6.518496036529541
920445.BJ,2023-09-28,3.96,3.82,-3.5353535353535386,6.257334232330322
002812.SZ,2023-09-28,59.9,60.1,0.3338898163606057,6.001753330230713
301313.SZ,2023-10-09,28.0,27.82,-0.6428571428571418,11.926347732543945
301073.SZ,2023-10-09,27.19,25.39,-6.620080912100039,8.786473274230957
600610.SH,2023-10-09,8.36,8.18,-2.1531100478468868,6.493930339813232
002812.SZ,2023-10-09,59.07,58.87,-0.33858134416794117,5.38247537612915
600117.SH,2023-10-09,3.17,3.22,1.5772870662460654,5.0551066398620605
301073.SZ,2023-10-10,26.7,25.82,-3.2958801498127306,9.170425415039062
600129.SH,2023-10-10,42.55,39.56,-7.027027027027015,6.876407623291016
600540.SH,2023-10-10,6.02,5.78,-3.9867109634551388,6.022805213928223
301313.SZ,2023-10-10,28.02,28.17,0.5353319057815922,5.928788185119629
600610.SH,2023-10-10,8.42,7.66,-9.026128266033252,5.401174545288086
600540.SH,2023-10-11,5.74,5.65,-1.5679442508710777,8.68370532989502
301073.SZ,2023-10-11,26.08,25.1,-3.7576687116564296,7.294881343841553
600129.SH,2023-10-11,41.35,38.58,-6.698911729141482,6.9701313972473145
605117.SH,2023-10-11,74.71,71.68,-4.055681970285086,5.782824516296387
000514.SZ,2023-10-11,4.29,4.19,-2.3310023310023227,5.479962348937988
600540.SH,2023-10-12,5.84,5.47,-6.335616438356166,8.112313270568848
920599.BJ,2023-10-12,8.59,8.64,0.5820721769499501,7.699301242828369
000656.SZ,2023-10-12,1.57,1.49,-5.0955414012738895,7.128303527832031
301313.SZ,2023-10-12,28.39,27.39,-3.522367030644593,5.859687328338623
002905.SZ,2023-10-12,9.3,9.01,-3.118279569892483,5.339430332183838
002905.SZ,2023-10-13,9.23,9.0,-2.4918743228602427,8.990474700927734
000656.SZ,2023-10-13,1.58,1.64,3.797468354430369,6.123363971710205
600540.SH,2023-10-13,5.93,5.33,-10.118043844856656,6.055139064788818
301313.SZ,2023-10-13,28.02,26.66,-4.853675945753031,5.712103843688965
603103.SH,2023-10-13,14.28,13.88,-2.8011204481792618,5.6176438331604
002905.SZ,2023-10-16,9.2,8.72,-5.217391304347812,12.301896095275879
301313.SZ,2023-10-16,27.82,25.71,-7.584471603163189,6.239725112915039
301299.SZ,2023-10-16,61.3,57.22,-6.655791190864598,6.196869373321533
301316.SZ,2023-10-16,28.86,25.73,-10.845460845460844,5.820283889770508
