symbol,entry_date,exit_date,entry_price,exit_price,quantity,actual_return,predicted_return,hold_days,close_reason,position_closed
002123.SZ,20230224,20230303,13.81,13.97,717.1438411707398,1.1585807385952218,10.979435920715332,6,take_profit,partial
002123.SZ,20230224,20230306,13.81,13.77,717.1438411707398,-0.2896451846488119,10.979435920715332,7,short_trend_break_2x,full
002845.SZ,20230217,20230307,17.11,16.51,1168.4037628877825,-3.506721215663342,8.152274131774902,13,short_trend_break_2x,full
603717.SH,20230307,20230308,8.57,8.55,2318.7591411958015,-0.23337222870477917,12.244853019714355,2,stop_loss_next_open,full
603979.SH,20230208,20230310,28.58,30.61,346.4676875232415,7.102869139258226,6.708897113800049,23,short_trend_break_2x,full
002579.SZ,20230221,20230310,12.22,12.03,1600.3036724743474,-1.5548281505728418,8.185874938964844,14,short_trend_break_2x,full
000977.SZ,20230308,20230310,34.79,31.74,567.1858681897106,-8.766887036504745,10.485634803771973,3,stop_loss,full
603717.SH,20230309,20230310,8.67,8.53,2274.877320379498,-1.6147635524798218,8.353017807006836,2,stop_loss_next_open,full
002957.SZ,20230313,20230314,18.52,18.3,1054.4411422882547,-1.1879049676025857,6.114927768707275,2,stop_loss,full
603027.SH,20230313,20230314,23.95,24.58,407.68789050476994,2.6304801670146096,5.501226902008057,2,take_profit,partial
002762.SZ,20230313,20230314,12.38,12.04,1577.4030658464037,-2.7463651050080906,5.407711982727051,2,stop_loss,full
603027.SH,20230313,20230315,23.95,24.31,407.68789050476994,1.5031315240083485,5.501226902008057,3,short_trend_break_2x,full
603912.SH,20230315,20230316,13.1,12.6,1482.886345189704,-3.816793893129771,11.076844215393066,2,stop_loss_next_open,full
002261.SZ,20230315,20230316,10.4,9.87,1867.8664540370307,-5.096153846153857,9.646564483642578,2,stop_loss,full
002214.SZ,20230317,20230320,15.24,14.9,1255.8007002846928,-2.230971128608923,8.522403717041016,2,stop_loss,full
603697.SH,20230317,20230320,13.72,13.34,1394.9273084794984,-2.7696793002915507,8.319048881530762,2,stop_loss,full
002261.SZ,20230317,20230322,10.02,12.19,955.0101133901557,21.656686626746506,15.389731407165527,4,take_profit,partial
000977.SZ,20230313,20230323,31.7,38.05,308.01656080723154,20.031545741324916,12.793889999389648,9,take_profit,partial
002769.SZ,20230321,20230327,10.16,9.89,1864.9081476124782,-2.6574803149606256,11.3831205368042,5,stop_loss,full
000977.SZ,20230313,20230331,31.7,35.1,308.01656080723154,10.725552050473192,12.793889999389648,15,short_trend_break_2x,full
600211.SH,20230328,20230331,49.2,53.01,199.59985738295978,7.743902439024381,8.648537635803223,4,take_profit,partial
600211.SH,20230328,20230403,49.2,52.45,199.59985738295978,6.605691056910569,8.648537635803223,5,short_trend_break_2x,full
002156.SZ,20230404,20230410,22.54,22.99,454.4009585337027,1.9964507542147265,4.591508388519287,4,take_profit,partial
002156.SZ,20230404,20230411,22.54,22.7,454.4009585337027,0.7098491570541267,4.591508388519287,5,short_trend_break_2x,full
002261.SZ,20230317,20230413,10.02,13.7,955.0101133901557,36.72654690618762,15.389731407165527,19,short_trend_break_2x,full
001212.SZ,20230321,20230413,31.75,31.96,298.3853036179965,0.6614173228346484,10.940632820129395,17,take_profit,partial
001212.SZ,20230321,20230414,31.75,31.75,298.3853036179965,0.0,10.940632820129395,18,short_trend_break_2x,full
002803.SZ,20230412,20230414,19.1,20.17,538.0741104297966,5.6020942408376975,21.439193725585938,3,take_profit,partial
